"Step","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MIN","Yahoo b512 l0.0005 -- qx8h22fz - contrast_sum__MAX","Yahoo b512 l0.0005 -- qx8h22fz - total_loss","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MIN","Yahoo b512 l0.0005 -- qx8h22fz - total_loss__MAX"
"129","1657.909423828125","1657.909423828125","1657.909423828125","1917.629638671875","1917.629638671875","1917.629638671875"
"130","1704.188720703125","1704.188720703125","1704.188720703125","1959.391357421875","1959.391357421875","1959.391357421875"
"131","1646.9364013671875","1646.9364013671875","1646.9364013671875","1853.544189453125","1853.544189453125","1853.544189453125"
"132","1679.864501953125","1679.864501953125","1679.864501953125","1922.26708984375","1922.26708984375","1922.26708984375"
"133","1648.5341796875","1648.5341796875","1648.5341796875","1907.6314697265625","1907.6314697265625","1907.6314697265625"
"134","1631.8726806640625","1631.8726806640625","1631.8726806640625","1887.643310546875","1887.643310546875","1887.643310546875"
"135","1677.037109375","1677.037109375","1677.037109375","1941.9915771484375","1941.9915771484375","1941.9915771484375"
"136","1672.0618896484375","1672.0618896484375","1672.0618896484375","1944.831787109375","1944.831787109375","1944.831787109375"
"137","1702.8421630859375","1702.8421630859375","1702.8421630859375","1939.52392578125","1939.52392578125","1939.52392578125"
"138","1692.518798828125","1692.518798828125","1692.518798828125","1934.0108642578125","1934.0108642578125","1934.0108642578125"
"139","1663.7410888671875","1663.7410888671875","1663.7410888671875","1908.2843017578125","1908.2843017578125","1908.2843017578125"
"140","1682.1761474609375","1682.1761474609375","1682.1761474609375","1918.761474609375","1918.761474609375","1918.761474609375"
"141","1663.0823974609375","1663.0823974609375","1663.0823974609375","1913.6458740234375","1913.6458740234375","1913.6458740234375"
"142","1700.759033203125","1700.759033203125","1700.759033203125","1950.3809814453125","1950.3809814453125","1950.3809814453125"
"143","1694.2635498046875","1694.2635498046875","1694.2635498046875","1915.962646484375","1915.962646484375","1915.962646484375"
"144","1673.731689453125","1673.731689453125","1673.731689453125","1921.5802001953125","1921.5802001953125","1921.5802001953125"
"145","1686.2454833984375","1686.2454833984375","1686.2454833984375","1914.9195556640625","1914.9195556640625","1914.9195556640625"
"146","1678.5355224609375","1678.5355224609375","1678.5355224609375","1887.810302734375","1887.810302734375","1887.810302734375"
"147","1648.6790771484375","1648.6790771484375","1648.6790771484375","1908.2650146484375","1908.2650146484375","1908.2650146484375"
"148","1697.8472900390625","1697.8472900390625","1697.8472900390625","1881.876708984375","1881.876708984375","1881.876708984375"
"149","1701.4683837890625","1701.4683837890625","1701.4683837890625","1935.171630859375","1935.171630859375","1935.171630859375"
