"Step","Yahoo b512 l0.0005 -- qx8h22fz - hr_5","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_5__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_10","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_10__MAX","Yahoo b512 l0.0005 -- qx8h22fz - hr_20","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MIN","Yahoo b512 l0.0005 -- qx8h22fz - hr_20__MAX"
"2881","0.0029706741145106006","0.0029706741145106006","0.0029706741145106006","0.0027040751555160595","0.0027040751555160595","0.0027040751555160595","0.0025168211247937034","0.0025168211247937034","0.0025168211247937034"
"2982","0.0031103211882696456","0.0031103211882696456","0.0031103211882696456","0.002716770344039609","0.002716770344039609","0.002716770344039609","0.0025263425161863654","0.0025263425161863654","0.0025263425161863654"
"3083","0.0029071981718928525","0.0029071981718928525","0.0029071981718928525","0.0027485083153484828","0.0027485083153484828","0.0027485083153484828","0.0025612542846261267","0.0025612542846261267","0.0025612542846261267"
"3184","0.0029960644915576996","0.0029960644915576996","0.0029960644915576996","0.0028056366637044562","0.0028056366637044562","0.0028056366637044562","0.0025453852989716897","0.0025453852989716897","0.0025453852989716897"
"3285","0.0029071981718928525","0.0029071981718928525","0.0029071981718928525","0.0029198933604164022","0.0029198933604164022","0.0029198933604164022","0.0026088612415894378","0.0026088612415894378","0.0026088612415894378"
"3386","0.0029452837374635012","0.0029452837374635012","0.0029452837374635012","0.00283737463501333","0.00283737463501333","0.00283737463501333","0.002612035038720325","0.002612035038720325","0.002612035038720325"
"3487","0.0029960644915576996","0.0029960644915576996","0.0029960644915576996","0.002869112606322204","0.002869112606322204","0.002869112606322204","0.0026628157928145235","0.0026628157928145235","0.0026628157928145235"
"3588","0.003135711565316745","0.003135711565316745","0.003135711565316745","0.0029706741145106006","0.0029706741145106006","0.0029706741145106006","0.0026469468071600864","0.0026469468071600864","0.0026469468071600864"
"3689","0.003338834581693538","0.003338834581693538","0.003338834581693538","0.0030849308112225467","0.0030849308112225467","0.0030849308112225467","0.0026501206042909738","0.0026501206042909738","0.0026501206042909738"
"3790","0.0031484067538402947","0.0031484067538402947","0.0031484067538402947","0.0030595404341754477","0.0030595404341754477","0.0030595404341754477","0.002697727561254285","0.002697727561254285","0.002697727561254285"
"3891","0.0032880538275993397","0.0032880538275993397","0.0032880538275993397","0.0030976259997460964","0.0030976259997460964","0.0030976259997460964","0.002770724895264695","0.002770724895264695","0.002770724895264695"
"4046","0.003364224958740637","0.003364224958740637","0.003364224958740637","0.0030849308112225467","0.0030849308112225467","0.0030849308112225467","0.0028246794464897806","0.0028246794464897806","0.0028246794464897806"
"4147","0.003643519106258728","0.003643519106258728","0.003643519106258728","0.0033451821759553127","0.0033451821759553127","0.0033451821759553127","0.0028818077948457536","0.0028818077948457536","0.0028818077948457536"
"4248","0.0034784816554525835","0.0034784816554525835","0.0034784816554525835","0.0032626634505522408","0.0032626634505522408","0.0032626634505522408","0.0027516821124793705","0.0027516821124793705","0.0027516821124793705"
"4349","0.0035038720324996825","0.0035038720324996825","0.0035038720324996825","0.0032690110448140154","0.0032690110448140154","0.0032690110448140154","0.0028088104608353435","0.0028088104608353435","0.0028088104608353435"
"4450","0.003618128729211629","0.003618128729211629","0.003618128729211629","0.003313444204646439","0.003313444204646439","0.003313444204646439","0.002846896026405992","0.002846896026405992","0.002846896026405992"
"4551","0.0034784816554525835","0.0034784816554525835","0.0034784816554525835","0.0032118826964580424","0.0032118826964580424","0.0032118826964580424","0.002821505649358893","0.002821505649358893","0.002821505649358893"
"4652","0.003465786466929034","0.003465786466929034","0.003465786466929034","0.003281706233337565","0.003281706233337565","0.003281706233337565","0.002827853243620668","0.002827853243620668","0.002827853243620668"
"4753","0.0035165672210232322","0.0035165672210232322","0.0035165672210232322","0.003167449536625619","0.003167449536625619","0.003167449536625619","0.0028659388091913165","0.0028659388091913165","0.0028659388091913165"
"4854","0.0036054335406880793","0.0036054335406880793","0.0036054335406880793","0.003307096610384664","0.003307096610384664","0.003307096610384664","0.002827853243620668","0.002827853243620668","0.002827853243620668"
"4955","0.003668909483305827","0.003668909483305827","0.003668909483305827","0.0032118826964580424","0.0032118826964580424","0.0032118826964580424","0.002853243620667767","0.002853243620667767","0.002853243620667767"
"5056","0.003529262409546782","0.003529262409546782","0.003529262409546782","0.003224577884981592","0.003224577884981592","0.003224577884981592","0.0028627650120604292","0.0028627650120604292","0.0028627650120604292"
"5157","0.0037450806144471247","0.0037450806144471247","0.0037450806144471247","0.0032626634505522408","0.0032626634505522408","0.0032626634505522408","0.0029770217087723753","0.0029770217087723753","0.0029770217087723753"
"5258","0.003821251745588422","0.003821251745588422","0.003821251745588422","0.003249968262028691","0.003249968262028691","0.003249968262028691","0.0028818077948457536","0.0028818077948457536","0.0028818077948457536"
"5359","0.0037704709914942237","0.0037704709914942237","0.0037704709914942237","0.003383267741525962","0.003383267741525962","0.003383267741525962","0.002884981591976641","0.002884981591976641","0.002884981591976641"
"5460","0.0038339469341119718","0.0038339469341119718","0.0038339469341119718","0.003307096610384664","0.003307096610384664","0.003307096610384664","0.0029135457661546276","0.0029135457661546276","0.0029135457661546276"
"5561","0.0037196902374000253","0.0037196902374000253","0.0037196902374000253","0.003307096610384664","0.003307096610384664","0.003307096610384664","0.0029230671575472896","0.0029230671575472896","0.0029230671575472896"
"5662","0.003973594007871017","0.003973594007871017","0.003973594007871017","0.0034467436841437095","0.0034467436841437095","0.0034467436841437095","0.0030182810714739113","0.0030182810714739113","0.0030182810714739113"
"5763","0.0038339469341119718","0.0038339469341119718","0.0038339469341119718","0.0034467436841437095","0.0034467436841437095","0.0034467436841437095","0.0029928906944268123","0.0029928906944268123","0.0029928906944268123"
"5864","0.003821251745588422","0.003821251745588422","0.003821251745588422","0.003383267741525962","0.003383267741525962","0.003383267741525962","0.0029611527231179382","0.0029611527231179382","0.0029611527231179382"
"6019","0.0037450806144471247","0.0037450806144471247","0.0037450806144471247","0.0033578773644788625","0.0033578773644788625","0.0033578773644788625","0.002859591214929542","0.002859591214929542","0.002859591214929542"
